#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   144.0           3.3713E+00              3.3713E+00
   145.0           3.3722E+00              3.3722E+00
   146.0           3.3731E+00              3.3731E+00
   147.0           3.3740E+00              3.3740E+00
   148.0           3.3749E+00              3.3749E+00
   149.0           3.3758E+00              3.3757E+00
   150.0           3.3766E+00              3.3766E+00
   151.0           3.3776E+00              3.3775E+00
   152.0           3.3784E+00              3.3784E+00
   153.0           3.3793E+00              3.3793E+00
   154.0           3.3802E+00              3.3801E+00
   155.0           3.3810E+00              3.3810E+00
   156.0           3.3820E+00              3.3819E+00
   157.0           3.3828E+00              3.3828E+00
   158.0           3.3837E+00              3.3837E+00
   159.0           3.3846E+00              3.3845E+00
   160.0           3.3854E+00              3.3854E+00
   161.0           3.3863E+00              3.3863E+00
   162.0           3.3872E+00              3.3872E+00
   163.0           3.3880E+00              3.3880E+00
   164.0           3.3889E+00              3.3889E+00
   165.0           3.3898E+00              3.3897E+00
   166.0           3.3907E+00              3.3906E+00
   167.0           3.3915E+00              3.3915E+00
   168.0           3.3924E+00              3.3923E+00
   169.0           3.3932E+00              3.3932E+00
   170.0           3.3941E+00              3.3940E+00
   171.0           3.3950E+00              3.3949E+00
   172.0           3.3958E+00              3.3958E+00
   173.0           3.3966E+00              3.3966E+00
   174.0           3.3975E+00              3.3975E+00
   175.0           3.3983E+00              3.3983E+00
   176.0           3.3992E+00              3.3992E+00
   177.0           3.4000E+00              3.4000E+00
   178.0           3.4009E+00              3.4009E+00
   179.0           3.4017E+00              3.4017E+00
   180.0           3.4025E+00              3.4025E+00
   181.0           3.4034E+00              3.4034E+00
   182.0           3.4042E+00              3.4042E+00
   183.0           3.4051E+00              3.4050E+00
   184.0           3.4059E+00              3.4059E+00
   185.0           3.4067E+00              3.4067E+00
   186.0           3.4076E+00              3.4076E+00
   187.0           3.4084E+00              3.4084E+00
   188.0           3.4092E+00              3.4092E+00
   189.0           3.4100E+00              3.4100E+00
   190.0           3.4108E+00              3.4108E+00
   191.0           3.4117E+00              3.4117E+00
   192.0           3.4125E+00              3.4125E+00
   193.0           3.4133E+00              3.4133E+00
   194.0           3.4141E+00              3.4141E+00
   195.0           3.4149E+00              3.4149E+00
   196.0           3.4158E+00              3.4157E+00
   197.0           3.4166E+00              3.4165E+00
   198.0           3.4174E+00              3.4173E+00
   199.0           3.4182E+00              3.4181E+00
   200.0           3.4189E+00              3.4189E+00
   201.0           3.4198E+00              3.4198E+00
   202.0           3.4206E+00              3.4205E+00
   203.0           3.4213E+00              3.4213E+00
   204.0           3.4221E+00              3.4221E+00
   205.0           3.4229E+00              3.4229E+00
   206.0           3.4237E+00              3.4237E+00
   207.0           3.4245E+00              3.4245E+00
   208.0           3.4253E+00              3.4253E+00
   209.0           3.4261E+00              3.4260E+00
   210.0           3.4268E+00              3.4268E+00
   211.0           3.4276E+00              3.4276E+00
   212.0           3.4284E+00              3.4284E+00
   213.0           3.4291E+00              3.4291E+00
   214.0           3.4299E+00              3.4299E+00
   215.0           3.4307E+00              3.4306E+00
   216.0           3.4315E+00              3.4314E+00
   217.0           3.4322E+00              3.4322E+00
   218.0           3.4329E+00              3.4329E+00
   219.0           3.4337E+00              3.4337E+00
   220.0           3.4344E+00              3.4344E+00
   221.0           3.4352E+00              3.4352E+00
   222.0           3.4359E+00              3.4359E+00
   223.0           3.4366E+00              3.4366E+00
   224.0           3.4373E+00              3.4373E+00
   225.0           3.4380E+00              3.4380E+00
   226.0           3.4388E+00              3.4388E+00
   227.0           3.4395E+00              3.4395E+00
   228.0           3.4402E+00              3.4402E+00
   229.0           3.4409E+00              3.4409E+00
   230.0           3.4416E+00              3.4416E+00
   231.0           3.4423E+00              3.4423E+00
   232.0           3.4430E+00              3.4430E+00
   233.0           3.4437E+00              3.4436E+00
   234.0           3.4443E+00              3.4443E+00
   235.0           3.4450E+00              3.4450E+00
   236.0           3.4457E+00              3.4457E+00
   237.0           3.4464E+00              3.4464E+00
   238.0           3.4471E+00              3.4471E+00
   239.0           3.4478E+00              3.4477E+00
   240.0           3.4484E+00              3.4484E+00
   241.0           3.4491E+00              3.4491E+00
   242.0           3.4498E+00              3.4498E+00
   243.0           3.4504E+00              3.4504E+00
   244.0           3.4511E+00              3.4511E+00
   245.0           3.4518E+00              3.4518E+00
   246.0           3.4525E+00              3.4524E+00
   247.0           3.4531E+00              3.4531E+00
   248.0           3.4538E+00              3.4537E+00
   249.0           3.4544E+00              3.4544E+00
   250.0           3.4551E+00              3.4551E+00
   251.0           3.4558E+00              3.4557E+00
   252.0           3.4564E+00              3.4564E+00
   253.0           3.4570E+00              3.4570E+00
   254.0           3.4577E+00              3.4577E+00
   255.0           3.4583E+00              3.4583E+00
   256.0           3.4590E+00              3.4590E+00
   257.0           3.4597E+00              3.4596E+00
   258.0           3.4603E+00              3.4603E+00
   259.0           3.4609E+00              3.4609E+00
   260.0           3.4616E+00              3.4616E+00
   261.0           3.4622E+00              3.4622E+00
   262.0           3.4629E+00              3.4629E+00
   263.0           3.4635E+00              3.4635E+00
   264.0           3.4642E+00              3.4641E+00
   265.0           3.4648E+00              3.4648E+00
   266.0           3.4655E+00              3.4654E+00
   267.0           3.4661E+00              3.4661E+00
   268.0           3.4667E+00              3.4667E+00
   269.0           3.4673E+00              3.4673E+00
   270.0           3.4680E+00              3.4680E+00
   271.0           3.4686E+00              3.4686E+00
   272.0           3.4693E+00              3.4692E+00
   273.0           3.4699E+00              3.4699E+00
   274.0           3.4705E+00              3.4705E+00
   275.0           3.4711E+00              3.4711E+00
   276.0           3.4718E+00              3.4718E+00
   277.0           3.4724E+00              3.4724E+00
   278.0           3.4731E+00              3.4730E+00
   279.0           3.4737E+00              3.4737E+00
   280.0           3.4743E+00              3.4743E+00
   281.0           3.4750E+00              3.4749E+00
   282.0           3.4756E+00              3.4756E+00
   283.0           3.4762E+00              3.4762E+00
   284.0           3.4768E+00              3.4768E+00
   285.0           3.4774E+00              3.4774E+00
   286.0           3.4781E+00              3.4781E+00
   287.0           3.4787E+00              3.4787E+00
   288.0           3.4793E+00              3.4793E+00
   289.0           3.4800E+00              3.4799E+00
   290.0           3.4806E+00              3.4806E+00
   291.0           3.4812E+00              3.4812E+00
   292.0           3.4818E+00              3.4818E+00
   293.0           3.4825E+00              3.4824E+00
   294.0           3.4831E+00              3.4831E+00
   295.0           3.4837E+00              3.4837E+00
   296.0           3.4843E+00              3.4843E+00
   297.0           3.4849E+00              3.4849E+00
   298.0           3.4856E+00              3.4855E+00
   299.0           3.4862E+00              3.4862E+00
   300.0           3.4868E+00              3.4868E+00
   301.0           3.4874E+00              3.4874E+00
   302.0           3.4880E+00              3.4880E+00
   303.0           3.4886E+00              3.4886E+00
   304.0           3.4892E+00              3.4892E+00
   305.0           3.4899E+00              3.4898E+00
   306.0           3.4905E+00              3.4905E+00
   307.0           3.4911E+00              3.4911E+00
   308.0           3.4917E+00              3.4917E+00
   309.0           3.4923E+00              3.4923E+00
   310.0           3.4929E+00              3.4929E+00
   311.0           3.4936E+00              3.4936E+00
   312.0           3.4942E+00              3.4942E+00
   313.0           3.4948E+00              3.4948E+00
   314.0           3.4954E+00              3.4954E+00
   315.0           3.4960E+00              3.4960E+00
   316.0           3.4967E+00              3.4967E+00
   317.0           3.4973E+00              3.4973E+00
   318.0           3.4979E+00              3.4979E+00
   319.0           3.4985E+00              3.4985E+00
   320.0           3.4991E+00              3.4991E+00
   321.0           3.4998E+00              3.4998E+00
   322.0           3.5004E+00              3.5004E+00
   323.0           3.5010E+00              3.5010E+00
   324.0           3.5016E+00              3.5016E+00
   325.0           3.5022E+00              3.5022E+00
   326.0           3.5029E+00              3.5029E+00
   327.0           3.5035E+00              3.5035E+00
   328.0           3.5041E+00              3.5041E+00
   329.0           3.5047E+00              3.5047E+00
   330.0           3.5054E+00              3.5054E+00
   331.0           3.5060E+00              3.5060E+00
   332.0           3.5066E+00              3.5066E+00
   333.0           3.5073E+00              3.5072E+00
   334.0           3.5079E+00              3.5079E+00
   335.0           3.5085E+00              3.5085E+00
   336.0           3.5092E+00              3.5091E+00
   337.0           3.5098E+00              3.5098E+00
   338.0           3.5104E+00              3.5104E+00
   339.0           3.5110E+00              3.5110E+00
   340.0           3.5116E+00              3.5116E+00
   341.0           3.5123E+00              3.5123E+00
   342.0           3.5129E+00              3.5129E+00
   343.0           3.5135E+00              3.5135E+00
   344.0           3.5142E+00              3.5141E+00
   345.0           3.5148E+00              3.5148E+00
   346.0           3.5154E+00              3.5154E+00
   347.0           3.5161E+00              3.5160E+00
   348.0           3.5167E+00              3.5167E+00
   349.0           3.5173E+00              3.5173E+00
   350.0           3.5179E+00              3.5179E+00
   351.0           3.5186E+00              3.5186E+00
   352.0           3.5192E+00              3.5192E+00
   353.0           3.5198E+00              3.5198E+00
   354.0           3.5205E+00              3.5205E+00
   355.0           3.5211E+00              3.5211E+00
   356.0           3.5218E+00              3.5218E+00
   357.0           3.5224E+00              3.5224E+00
   358.0           3.5230E+00              3.5230E+00
   359.0           3.5237E+00              3.5236E+00
   360.0           3.5243E+00              3.5243E+00
   361.0           3.5250E+00              3.5250E+00
   362.0           3.5256E+00              3.5256E+00
   363.0           3.5262E+00              3.5262E+00
   364.0           3.5269E+00              3.5269E+00
   365.0           3.5275E+00              3.5275E+00
   366.0           3.5282E+00              3.5282E+00
   367.0           3.5288E+00              3.5288E+00
   368.0           3.5295E+00              3.5294E+00
   369.0           3.5301E+00              3.5301E+00
   370.0           3.5307E+00              3.5307E+00
   371.0           3.5314E+00              3.5314E+00
   372.0           3.5320E+00              3.5320E+00
   373.0           3.5327E+00              3.5327E+00
   374.0           3.5333E+00              3.5333E+00
   375.0           3.5340E+00              3.5340E+00
   376.0           3.5347E+00              3.5346E+00
   377.0           3.5353E+00              3.5353E+00
   378.0           3.5359E+00              3.5359E+00
   379.0           3.5366E+00              3.5366E+00
   380.0           3.5372E+00              3.5372E+00
   381.0           3.5379E+00              3.5379E+00
   382.0           3.5386E+00              3.5385E+00
   383.0           3.5392E+00              3.5392E+00
   384.0           3.5398E+00              3.5398E+00
   385.0           3.5405E+00              3.5405E+00
   386.0           3.5412E+00              3.5412E+00
   387.0           3.5418E+00              3.5418E+00
   388.0           3.5425E+00              3.5425E+00
   389.0           3.5431E+00              3.5431E+00
   390.0           3.5438E+00              3.5438E+00
   391.0           3.5445E+00              3.5444E+00
   392.0           3.5451E+00              3.5451E+00
   393.0           3.5458E+00              3.5457E+00
   394.0           3.5464E+00              3.5464E+00
   395.0           3.5471E+00              3.5470E+00
   396.0           3.5477E+00              3.5477E+00
   397.0           3.5484E+00              3.5484E+00
   398.0           3.5490E+00              3.5490E+00
   399.0           3.5497E+00              3.5497E+00
   400.0           3.5503E+00              3.5503E+00
   401.0           3.5510E+00              3.5510E+00
   402.0           3.5517E+00              3.5517E+00
   403.0           3.5523E+00              3.5523E+00
   404.0           3.5530E+00              3.5530E+00
   405.0           3.5536E+00              3.5536E+00
   406.0           3.5883E+00              3.5882E+00
   407.0           3.6259E+00              3.6259E+00
   408.0           3.6636E+00              3.6636E+00
   409.0           3.7013E+00              3.7013E+00
   410.0           3.7390E+00              3.7389E+00
   411.0           3.7458E+00              3.7458E+00
   412.0           3.7471E+00              3.7471E+00
   413.0           3.7484E+00              3.7484E+00
   414.0           3.7497E+00              3.7497E+00
   415.0           3.7510E+00              3.7510E+00
   416.0           3.7524E+00              3.7524E+00
   417.0           3.7538E+00              3.7537E+00
   418.0           3.7551E+00              3.7551E+00
   419.0           3.7564E+00              3.7564E+00
   420.0           3.7577E+00              3.7577E+00
   421.0           3.7591E+00              3.7591E+00
   422.0           3.7604E+00              3.7604E+00
   423.0           3.7617E+00              3.7617E+00
   424.0           3.7631E+00              3.7630E+00
   425.0           3.7644E+00              3.7644E+00
   426.0           3.7658E+00              3.7658E+00
   427.0           3.7671E+00              3.7671E+00
   428.0           3.7684E+00              3.7684E+00
   429.0           3.7697E+00              3.7697E+00
   430.0           3.7711E+00              3.7710E+00
   431.0           3.7725E+00              3.7724E+00
   432.0           3.7738E+00              3.7738E+00
   433.0           3.7751E+00              3.7751E+00
   434.0           3.7764E+00              3.7764E+00
   435.0           3.7777E+00              3.7777E+00
   436.0           3.7791E+00              3.7791E+00
   437.0           3.7804E+00              3.7804E+00
   438.0           3.7818E+00              3.7817E+00
   439.0           3.7831E+00              3.7830E+00
   440.0           3.7844E+00              3.7844E+00
   441.0           3.7858E+00              3.7858E+00
   442.0           3.7871E+00              3.7871E+00
   443.0           3.7884E+00              3.7884E+00
   444.0           3.7897E+00              3.7897E+00
   445.0           3.7910E+00              3.7910E+00
   446.0           3.7924E+00              3.7924E+00
   447.0           3.7937E+00              3.7937E+00
   448.0           3.7950E+00              3.7950E+00
   449.0           3.7963E+00              3.7962E+00
   450.0           3.7976E+00              3.7975E+00
   451.0           3.7989E+00              3.7989E+00
   452.0           3.8002E+00              3.8002E+00
   453.0           3.8015E+00              3.8015E+00
   454.0           3.8028E+00              3.8028E+00
