#ndep: 2897
#depth (km)   Vsh_arithmetic (km/s)   Vsh_geometric (km/s)
   144.0           4.5413E+00              4.5399E+00
   145.0           4.5411E+00              4.5396E+00
   146.0           4.5409E+00              4.5395E+00
   147.0           4.5407E+00              4.5393E+00
   148.0           4.5405E+00              4.5391E+00
   149.0           4.5403E+00              4.5389E+00
   150.0           4.5401E+00              4.5387E+00
   151.0           4.5400E+00              4.5386E+00
   152.0           4.5399E+00              4.5385E+00
   153.0           4.5397E+00              4.5383E+00
   154.0           4.5396E+00              4.5382E+00
   155.0           4.5394E+00              4.5380E+00
   156.0           4.5393E+00              4.5380E+00
   157.0           4.5393E+00              4.5379E+00
   158.0           4.5392E+00              4.5378E+00
   159.0           4.5391E+00              4.5377E+00
   160.0           4.5390E+00              4.5377E+00
   161.0           4.5390E+00              4.5376E+00
   162.0           4.5389E+00              4.5376E+00
   163.0           4.5389E+00              4.5376E+00
   164.0           4.5388E+00              4.5376E+00
   165.0           4.5388E+00              4.5375E+00
   166.0           4.5388E+00              4.5376E+00
   167.0           4.5389E+00              4.5376E+00
   168.0           4.5389E+00              4.5377E+00
   169.0           4.5389E+00              4.5377E+00
   170.0           4.5389E+00              4.5377E+00
   171.0           4.5390E+00              4.5378E+00
   172.0           4.5391E+00              4.5379E+00
   173.0           4.5392E+00              4.5380E+00
   174.0           4.5392E+00              4.5381E+00
   175.0           4.5393E+00              4.5382E+00
   176.0           4.5395E+00              4.5383E+00
   177.0           4.5396E+00              4.5385E+00
   178.0           4.5397E+00              4.5386E+00
   179.0           4.5399E+00              4.5388E+00
   180.0           4.5400E+00              4.5389E+00
   181.0           4.5402E+00              4.5392E+00
   182.0           4.5404E+00              4.5394E+00
   183.0           4.5407E+00              4.5396E+00
   184.0           4.5409E+00              4.5398E+00
   185.0           4.5411E+00              4.5400E+00
   186.0           4.5414E+00              4.5403E+00
   187.0           4.5416E+00              4.5406E+00
   188.0           4.5419E+00              4.5409E+00
   189.0           4.5422E+00              4.5412E+00
   190.0           4.5425E+00              4.5415E+00
   191.0           4.5428E+00              4.5419E+00
   192.0           4.5432E+00              4.5423E+00
   193.0           4.5435E+00              4.5426E+00
   194.0           4.5439E+00              4.5430E+00
   195.0           4.5442E+00              4.5433E+00
   196.0           4.5447E+00              4.5438E+00
   197.0           4.5451E+00              4.5443E+00
   198.0           4.5456E+00              4.5447E+00
   199.0           4.5460E+00              4.5452E+00
   200.0           4.5464E+00              4.5456E+00
   201.0           4.5470E+00              4.5462E+00
   202.0           4.5475E+00              4.5467E+00
   203.0           4.5480E+00              4.5472E+00
   204.0           4.5485E+00              4.5478E+00
   205.0           4.5491E+00              4.5483E+00
   206.0           4.5497E+00              4.5489E+00
   207.0           4.5503E+00              4.5496E+00
   208.0           4.5509E+00              4.5502E+00
   209.0           4.5515E+00              4.5508E+00
   210.0           4.5521E+00              4.5514E+00
   211.0           4.5529E+00              4.5522E+00
   212.0           4.5536E+00              4.5529E+00
   213.0           4.5543E+00              4.5536E+00
   214.0           4.5550E+00              4.5543E+00
   215.0           4.5557E+00              4.5550E+00
   216.0           4.5565E+00              4.5559E+00
   217.0           4.5573E+00              4.5567E+00
   218.0           4.5581E+00              4.5575E+00
   219.0           4.5589E+00              4.5583E+00
   220.0           4.5597E+00              4.5591E+00
   221.0           4.5607E+00              4.5601E+00
   222.0           4.5616E+00              4.5610E+00
   223.0           4.5625E+00              4.5619E+00
   224.0           4.5635E+00              4.5629E+00
   225.0           4.5644E+00              4.5638E+00
   226.0           4.5655E+00              4.5649E+00
   227.0           4.5665E+00              4.5659E+00
   228.0           4.5675E+00              4.5669E+00
   229.0           4.5685E+00              4.5679E+00
   230.0           4.5695E+00              4.5690E+00
   231.0           4.5707E+00              4.5702E+00
   232.0           4.5718E+00              4.5713E+00
   233.0           4.5729E+00              4.5724E+00
   234.0           4.5741E+00              4.5735E+00
   235.0           4.5752E+00              4.5746E+00
   236.0           4.5764E+00              4.5759E+00
   237.0           4.5776E+00              4.5771E+00
   238.0           4.5788E+00              4.5783E+00
   239.0           4.5800E+00              4.5795E+00
   240.0           4.5812E+00              4.5807E+00
   241.0           4.5826E+00              4.5821E+00
   242.0           4.5839E+00              4.5833E+00
