#ndep: 2897
#depth (km)   Vsh_arithmetic (km/s)   Vsh_geometric (km/s)
   650.0           5.7835E+00              5.7785E+00
   651.0           5.8353E+00              5.8314E+00
   652.0           5.8844E+00              5.8819E+00
   653.0           5.9334E+00              5.9319E+00
   654.0           5.9824E+00              5.9815E+00
   655.0           6.0314E+00              6.0308E+00
   656.0           6.0450E+00              6.0444E+00
   657.0           6.0460E+00              6.0455E+00
   658.0           6.0471E+00              6.0466E+00
   659.0           6.0482E+00              6.0477E+00
   660.0           6.0493E+00              6.0487E+00
   661.0           6.0504E+00              6.0499E+00
   662.0           6.0515E+00              6.0510E+00
   663.0           6.0527E+00              6.0521E+00
   664.0           6.0538E+00              6.0532E+00
   665.0           6.0549E+00              6.0544E+00
   666.0           6.0561E+00              6.0556E+00
   667.0           6.0572E+00              6.0567E+00
   668.0           6.0584E+00              6.0579E+00
   669.0           6.0595E+00              6.0590E+00
   670.0           6.0607E+00              6.0601E+00
   671.0           6.0619E+00              6.0614E+00
   672.0           6.0631E+00              6.0626E+00
   673.0           6.0643E+00              6.0637E+00
   674.0           6.0654E+00              6.0649E+00
   675.0           6.0666E+00              6.0661E+00
   676.0           6.0679E+00              6.0674E+00
   677.0           6.0691E+00              6.0686E+00
   678.0           6.0703E+00              6.0698E+00
   679.0           6.0715E+00              6.0710E+00
   680.0           6.0727E+00              6.0722E+00
   681.0           6.0741E+00              6.0735E+00
   682.0           6.0753E+00              6.0748E+00
   683.0           6.0765E+00              6.0760E+00
   684.0           6.0778E+00              6.0773E+00
   685.0           6.0790E+00              6.0785E+00
   686.0           6.0804E+00              6.0799E+00
   687.0           6.0816E+00              6.0811E+00
   688.0           6.0829E+00              6.0824E+00
   689.0           6.0842E+00              6.0837E+00
   690.0           6.0855E+00              6.0850E+00
   691.0           6.0869E+00              6.0863E+00
   692.0           6.0882E+00              6.0876E+00
   693.0           6.0895E+00              6.0890E+00
   694.0           6.0908E+00              6.0903E+00
   695.0           6.0921E+00              6.0916E+00
   696.0           6.0935E+00              6.0930E+00
   697.0           6.0948E+00              6.0943E+00
   698.0           6.0961E+00              6.0956E+00
   699.0           6.0975E+00              6.0970E+00
   700.0           6.0988E+00              6.0983E+00
   701.0           6.1002E+00              6.0997E+00
   702.0           6.1016E+00              6.1011E+00
   703.0           6.1029E+00              6.1024E+00
   704.0           6.1043E+00              6.1038E+00
   705.0           6.1056E+00              6.1051E+00
   706.0           6.1071E+00              6.1066E+00
   707.0           6.1085E+00              6.1080E+00
   708.0           6.1098E+00              6.1093E+00
   709.0           6.1112E+00              6.1107E+00
   710.0           6.1126E+00              6.1121E+00
   711.0           6.1140E+00              6.1135E+00
   712.0           6.1154E+00              6.1149E+00
   713.0           6.1168E+00              6.1163E+00
   714.0           6.1182E+00              6.1177E+00
   715.0           6.1196E+00              6.1191E+00
   716.0           6.1211E+00              6.1206E+00
   717.0           6.1225E+00              6.1220E+00
   718.0           6.1238E+00              6.1233E+00
   719.0           6.1252E+00              6.1247E+00
   720.0           6.1266E+00              6.1261E+00
   721.0           6.1281E+00              6.1276E+00
   722.0           6.1295E+00              6.1290E+00
   723.0           6.1309E+00              6.1304E+00
   724.0           6.1323E+00              6.1318E+00
   725.0           6.1337E+00              6.1332E+00
   726.0           6.1352E+00              6.1347E+00
   727.0           6.1366E+00              6.1361E+00
   728.0           6.1380E+00              6.1375E+00
   729.0           6.1394E+00              6.1389E+00
   730.0           6.1408E+00              6.1403E+00
   731.0           6.1423E+00              6.1418E+00
   732.0           6.1437E+00              6.1432E+00
   733.0           6.1451E+00              6.1446E+00
   734.0           6.1465E+00              6.1460E+00
   735.0           6.1479E+00              6.1474E+00
   736.0           6.1494E+00              6.1489E+00
   737.0           6.1508E+00              6.1503E+00
   738.0           6.1522E+00              6.1517E+00
   739.0           6.1536E+00              6.1531E+00
   740.0           6.1550E+00              6.1545E+00
   741.0           6.1565E+00              6.1560E+00
   742.0           6.1579E+00              6.1574E+00
   743.0           6.1592E+00              6.1587E+00
   744.0           6.1606E+00              6.1601E+00
   745.0           6.1620E+00              6.1615E+00
   746.0           6.1635E+00              6.1630E+00
   747.0           6.1649E+00              6.1644E+00
   748.0           6.1662E+00              6.1658E+00
   749.0           6.1676E+00              6.1671E+00
   750.0           6.1690E+00              6.1685E+00
   751.0           6.1705E+00              6.1700E+00
   752.0           6.1718E+00              6.1713E+00
   753.0           6.1732E+00              6.1727E+00
   754.0           6.1746E+00              6.1741E+00
   755.0           6.1759E+00              6.1754E+00
   756.0           6.1774E+00              6.1769E+00
   757.0           6.1787E+00              6.1782E+00
   758.0           6.1801E+00              6.1796E+00
   759.0           6.1814E+00              6.1810E+00
   760.0           6.1828E+00              6.1823E+00
   761.0           6.1842E+00              6.1838E+00
   762.0           6.1856E+00              6.1851E+00
   763.0           6.1869E+00              6.1864E+00
   764.0           6.1883E+00              6.1878E+00
   765.0           6.1896E+00              6.1891E+00
   766.0           6.1910E+00              6.1905E+00
   767.0           6.1924E+00              6.1919E+00
   768.0           6.1937E+00              6.1932E+00
   769.0           6.1950E+00              6.1945E+00
   770.0           6.1964E+00              6.1959E+00
   771.0           6.1977E+00              6.1972E+00
   772.0           6.1990E+00              6.1985E+00
   773.0           6.2003E+00              6.1998E+00
   774.0           6.2015E+00              6.2011E+00
   775.0           6.2028E+00              6.2023E+00
   776.0           6.2042E+00              6.2037E+00
   777.0           6.2055E+00              6.2050E+00
   778.0           6.2068E+00              6.2063E+00
   779.0           6.2081E+00              6.2076E+00
   780.0           6.2093E+00              6.2089E+00
   781.0           6.2107E+00              6.2103E+00
   782.0           6.2121E+00              6.2116E+00
   783.0           6.2134E+00              6.2129E+00
   784.0           6.2147E+00              6.2142E+00
   785.0           6.2160E+00              6.2155E+00
   786.0           6.2174E+00              6.2170E+00
   787.0           6.2188E+00              6.2183E+00
   788.0           6.2201E+00              6.2196E+00
   789.0           6.2214E+00              6.2210E+00
   790.0           6.2228E+00              6.2223E+00
   791.0           6.2242E+00              6.2237E+00
   792.0           6.2255E+00              6.2251E+00
   793.0           6.2269E+00              6.2264E+00
   794.0           6.2282E+00              6.2277E+00
   795.0           6.2295E+00              6.2291E+00
   796.0           6.2310E+00              6.2305E+00
   797.0           6.2323E+00              6.2318E+00
   798.0           6.2336E+00              6.2332E+00
   799.0           6.2350E+00              6.2345E+00
   800.0           6.2363E+00              6.2358E+00
   801.0           6.2377E+00              6.2373E+00
   802.0           6.2390E+00              6.2386E+00
   803.0           6.2404E+00              6.2399E+00
   804.0           6.2417E+00              6.2412E+00
   805.0           6.2430E+00              6.2426E+00
   806.0           6.2444E+00              6.2440E+00
   807.0           6.2457E+00              6.2453E+00
   808.0           6.2470E+00              6.2466E+00
   809.0           6.2484E+00              6.2479E+00
   810.0           6.2497E+00              6.2492E+00
   811.0           6.2510E+00              6.2506E+00
   812.0           6.2523E+00              6.2519E+00
   813.0           6.2536E+00              6.2532E+00
   814.0           6.2549E+00              6.2545E+00
   815.0           6.2562E+00              6.2558E+00
   816.0           6.2575E+00              6.2571E+00
   817.0           6.2588E+00              6.2584E+00
   818.0           6.2600E+00              6.2596E+00
   819.0           6.2613E+00              6.2609E+00
   820.0           6.2626E+00              6.2621E+00
   821.0           6.2639E+00              6.2634E+00
   822.0           6.2651E+00              6.2647E+00
   823.0           6.2663E+00              6.2659E+00
   824.0           6.2675E+00              6.2671E+00
   825.0           6.2688E+00              6.2683E+00
   826.0           6.2700E+00              6.2696E+00
   827.0           6.2712E+00              6.2708E+00
   828.0           6.2724E+00              6.2720E+00
   829.0           6.2736E+00              6.2732E+00
   830.0           6.2748E+00              6.2743E+00
   831.0           6.2760E+00              6.2756E+00
   832.0           6.2771E+00              6.2767E+00
   833.0           6.2783E+00              6.2779E+00
   834.0           6.2794E+00              6.2790E+00
   835.0           6.2806E+00              6.2801E+00
   836.0           6.2817E+00              6.2813E+00
   837.0           6.2828E+00              6.2824E+00
   838.0           6.2839E+00              6.2835E+00
   839.0           6.2850E+00              6.2846E+00
   840.0           6.2861E+00              6.2857E+00
   841.0           6.2872E+00              6.2868E+00
   842.0           6.2883E+00              6.2879E+00
   843.0           6.2893E+00              6.2889E+00
   844.0           6.2904E+00              6.2900E+00
   845.0           6.2914E+00              6.2910E+00
   846.0           6.2925E+00              6.2921E+00
   847.0           6.2935E+00              6.2931E+00
   848.0           6.2945E+00              6.2941E+00
   849.0           6.2955E+00              6.2951E+00
   850.0           6.2965E+00              6.2961E+00
   851.0           6.2975E+00              6.2971E+00
   852.0           6.2984E+00              6.2980E+00
   853.0           6.2994E+00              6.2990E+00
   854.0           6.3003E+00              6.2999E+00
   855.0           6.3012E+00              6.3008E+00
   856.0           6.3022E+00              6.3018E+00
   857.0           6.3031E+00              6.3027E+00
   858.0           6.3040E+00              6.3036E+00
   859.0           6.3049E+00              6.3045E+00
   860.0           6.3057E+00              6.3053E+00
   861.0           6.3067E+00              6.3063E+00
   862.0           6.3075E+00              6.3071E+00
   863.0           6.3084E+00              6.3080E+00
   864.0           6.3093E+00              6.3089E+00
   865.0           6.3101E+00              6.3097E+00
   866.0           6.3110E+00              6.3106E+00
   867.0           6.3118E+00              6.3114E+00
   868.0           6.3125E+00              6.3122E+00
   869.0           6.3133E+00              6.3129E+00
   870.0           6.3141E+00              6.3137E+00
   871.0           6.3149E+00              6.3145E+00
   872.0           6.3156E+00              6.3152E+00
   873.0           6.3163E+00              6.3159E+00
   874.0           6.3170E+00              6.3166E+00
   875.0           6.3177E+00              6.3173E+00
   876.0           6.3184E+00              6.3180E+00
   877.0           6.3190E+00              6.3186E+00
   878.0           6.3197E+00              6.3193E+00
   879.0           6.3203E+00              6.3199E+00
   880.0           6.3209E+00              6.3205E+00
   881.0           6.3216E+00              6.3212E+00
   882.0           6.3222E+00              6.3218E+00
   883.0           6.3228E+00              6.3224E+00
   884.0           6.3234E+00              6.3230E+00
   885.0           6.3240E+00              6.3236E+00
   886.0           6.3246E+00              6.3242E+00
   887.0           6.3251E+00              6.3247E+00
   888.0           6.3257E+00              6.3253E+00
   889.0           6.3263E+00              6.3259E+00
   890.0           6.3268E+00              6.3264E+00
   891.0           6.3274E+00              6.3270E+00
   892.0           6.3279E+00              6.3276E+00
   893.0           6.3285E+00              6.3281E+00
   894.0           6.3290E+00              6.3286E+00
   895.0           6.3296E+00              6.3292E+00
   896.0           6.3302E+00              6.3298E+00
   897.0           6.3307E+00              6.3303E+00
   898.0           6.3312E+00              6.3308E+00
   899.0           6.3318E+00              6.3314E+00
   900.0           6.3323E+00              6.3319E+00
   901.0           6.3329E+00              6.3325E+00
   902.0           6.3334E+00              6.3330E+00
   903.0           6.3339E+00              6.3335E+00
   904.0           6.3345E+00              6.3341E+00
   905.0           6.3350E+00              6.3346E+00
   906.0           6.3356E+00              6.3352E+00
   907.0           6.3361E+00              6.3357E+00
   908.0           6.3367E+00              6.3363E+00
   909.0           6.3372E+00              6.3368E+00
   910.0           6.3378E+00              6.3374E+00
   911.0           6.3383E+00              6.3379E+00
   912.0           6.3389E+00              6.3385E+00
   913.0           6.3395E+00              6.3391E+00
   914.0           6.3400E+00              6.3396E+00
   915.0           6.3406E+00              6.3402E+00
   916.0           6.3412E+00              6.3408E+00
   917.0           6.3418E+00              6.3414E+00
   918.0           6.3423E+00              6.3420E+00
   919.0           6.3429E+00              6.3425E+00
   920.0           6.3435E+00              6.3431E+00
   921.0           6.3441E+00              6.3438E+00
   922.0           6.3447E+00              6.3444E+00
   923.0           6.3453E+00              6.3450E+00
   924.0           6.3460E+00              6.3456E+00
   925.0           6.3466E+00              6.3462E+00
   926.0           6.3472E+00              6.3468E+00
   927.0           6.3479E+00              6.3475E+00
   928.0           6.3485E+00              6.3481E+00
   929.0           6.3491E+00              6.3487E+00
   930.0           6.3497E+00              6.3494E+00
   931.0           6.3504E+00              6.3501E+00
   932.0           6.3511E+00              6.3507E+00
   933.0           6.3518E+00              6.3514E+00
   934.0           6.3524E+00              6.3520E+00
   935.0           6.3531E+00              6.3527E+00
   936.0           6.3538E+00              6.3534E+00
   937.0           6.3545E+00              6.3541E+00
   938.0           6.3552E+00              6.3548E+00
   939.0           6.3559E+00              6.3555E+00
   940.0           6.3566E+00              6.3562E+00
   941.0           6.3573E+00              6.3569E+00
   942.0           6.3580E+00              6.3576E+00
   943.0           6.3587E+00              6.3583E+00
   944.0           6.3594E+00              6.3591E+00
   945.0           6.3602E+00              6.3598E+00
   946.0           6.3609E+00              6.3605E+00
   947.0           6.3617E+00              6.3613E+00
   948.0           6.3624E+00              6.3620E+00
   949.0           6.3631E+00              6.3628E+00
   950.0           6.3639E+00              6.3635E+00
   951.0           6.3647E+00              6.3643E+00
   952.0           6.3654E+00              6.3650E+00
   953.0           6.3661E+00              6.3658E+00
   954.0           6.3669E+00              6.3665E+00
   955.0           6.3676E+00              6.3672E+00
   956.0           6.3684E+00              6.3680E+00
   957.0           6.3692E+00              6.3688E+00
   958.0           6.3699E+00              6.3695E+00
   959.0           6.3707E+00              6.3703E+00
   960.0           6.3714E+00              6.3711E+00
   961.0           6.3722E+00              6.3718E+00
   962.0           6.3730E+00              6.3726E+00
   963.0           6.3737E+00              6.3734E+00
   964.0           6.3745E+00              6.3741E+00
   965.0           6.3753E+00              6.3749E+00
   966.0           6.3761E+00              6.3757E+00
   967.0           6.3768E+00              6.3765E+00
   968.0           6.3776E+00              6.3772E+00
   969.0           6.3784E+00              6.3780E+00
   970.0           6.3791E+00              6.3787E+00
   971.0           6.3799E+00              6.3795E+00
   972.0           6.3807E+00              6.3803E+00
   973.0           6.3814E+00              6.3811E+00
   974.0           6.3822E+00              6.3818E+00
   975.0           6.3830E+00              6.3826E+00
   976.0           6.3838E+00              6.3834E+00
   977.0           6.3845E+00              6.3841E+00
   978.0           6.3853E+00              6.3849E+00
   979.0           6.3860E+00              6.3857E+00
   980.0           6.3868E+00              6.3864E+00
   981.0           6.3876E+00              6.3872E+00
   982.0           6.3883E+00              6.3880E+00
   983.0           6.3891E+00              6.3887E+00
   984.0           6.3898E+00              6.3894E+00
   985.0           6.3906E+00              6.3902E+00
   986.0           6.3913E+00              6.3910E+00
   987.0           6.3921E+00              6.3917E+00
   988.0           6.3928E+00              6.3924E+00
   989.0           6.3935E+00              6.3932E+00
   990.0           6.3943E+00              6.3939E+00
   991.0           6.3950E+00              6.3947E+00
   992.0           6.3958E+00              6.3954E+00
   993.0           6.3965E+00              6.3961E+00
   994.0           6.3972E+00              6.3968E+00
   995.0           6.3979E+00              6.3975E+00
   996.0           6.3987E+00              6.3983E+00
   997.0           6.3994E+00              6.3990E+00
   998.0           6.4000E+00              6.3997E+00
   999.0           6.4007E+00              6.4004E+00
  1000.0           6.4014E+00              6.4011E+00
  1001.0           6.4022E+00              6.4018E+00
  1002.0           6.4028E+00              6.4025E+00
  1003.0           6.4035E+00              6.4031E+00
  1004.0           6.4042E+00              6.4038E+00
  1005.0           6.4049E+00              6.4045E+00
  1006.0           6.4056E+00              6.4052E+00
  1007.0           6.4062E+00              6.4058E+00
  1008.0           6.4069E+00              6.4065E+00
  1009.0           6.4075E+00              6.4071E+00
  1010.0           6.4082E+00              6.4078E+00
  1011.0           6.4088E+00              6.4085E+00
  1012.0           6.4095E+00              6.4091E+00
  1013.0           6.4101E+00              6.4097E+00
  1014.0           6.4107E+00              6.4103E+00
  1015.0           6.4114E+00              6.4110E+00
  1016.0           6.4120E+00              6.4116E+00
  1017.0           6.4126E+00              6.4122E+00
  1018.0           6.4132E+00              6.4128E+00
  1019.0           6.4138E+00              6.4134E+00
  1020.0           6.4144E+00              6.4140E+00
  1021.0           6.4150E+00              6.4146E+00
  1022.0           6.4156E+00              6.4152E+00
  1023.0           6.4161E+00              6.4157E+00
  1024.0           6.4167E+00              6.4163E+00
  1025.0           6.4173E+00              6.4169E+00
  1026.0           6.4178E+00              6.4174E+00
  1027.0           6.4184E+00              6.4180E+00
  1028.0           6.4189E+00              6.4185E+00
  1029.0           6.4194E+00              6.4191E+00
  1030.0           6.4200E+00              6.4196E+00
  1031.0           6.4205E+00              6.4201E+00
  1032.0           6.4210E+00              6.4206E+00
  1033.0           6.4215E+00              6.4211E+00
  1034.0           6.4220E+00              6.4216E+00
  1035.0           6.4225E+00              6.4221E+00
  1036.0           6.4230E+00              6.4227E+00
  1037.0           6.4235E+00              6.4231E+00
  1038.0           6.4240E+00              6.4236E+00
  1039.0           6.4245E+00              6.4241E+00
  1040.0           6.4250E+00              6.4246E+00
  1041.0           6.4255E+00              6.4251E+00
  1042.0           6.4260E+00              6.4257E+00
  1043.0           6.4266E+00              6.4262E+00
  1044.0           6.4271E+00              6.4267E+00
  1045.0           6.4277E+00              6.4273E+00
  1046.0           6.4282E+00              6.4279E+00
  1047.0           6.4288E+00              6.4284E+00
  1048.0           6.4294E+00              6.4290E+00
  1049.0           6.4299E+00              6.4296E+00
  1050.0           6.4305E+00              6.4301E+00
  1051.0           6.4311E+00              6.4308E+00
  1052.0           6.4317E+00              6.4313E+00
  1053.0           6.4323E+00              6.4319E+00
  1054.0           6.4329E+00              6.4325E+00
  1055.0           6.4335E+00              6.4331E+00
  1056.0           6.4341E+00              6.4338E+00
  1057.0           6.4348E+00              6.4344E+00
  1058.0           6.4354E+00              6.4350E+00
  1059.0           6.4360E+00              6.4356E+00
  1060.0           6.4366E+00              6.4362E+00
  1061.0           6.4373E+00              6.4369E+00
  1062.0           6.4379E+00              6.4375E+00
  1063.0           6.4385E+00              6.4381E+00
  1064.0           6.4391E+00              6.4388E+00
  1065.0           6.4398E+00              6.4394E+00
  1066.0           6.4405E+00              6.4401E+00
  1067.0           6.4411E+00              6.4407E+00
  1068.0           6.4418E+00              6.4414E+00
  1069.0           6.4424E+00              6.4420E+00
  1070.0           6.4430E+00              6.4427E+00
  1071.0           6.4437E+00              6.4434E+00
  1072.0           6.4444E+00              6.4440E+00
  1073.0           6.4451E+00              6.4447E+00
  1074.0           6.4457E+00              6.4454E+00
  1075.0           6.4464E+00              6.4460E+00
  1076.0           6.4471E+00              6.4467E+00
  1077.0           6.4478E+00              6.4474E+00
  1078.0           6.4484E+00              6.4481E+00
  1079.0           6.4491E+00              6.4487E+00
  1080.0           6.4498E+00              6.4494E+00
  1081.0           6.4505E+00              6.4501E+00
  1082.0           6.4512E+00              6.4508E+00
  1083.0           6.4518E+00              6.4515E+00
  1084.0           6.4525E+00              6.4521E+00
  1085.0           6.4532E+00              6.4528E+00
  1086.0           6.4539E+00              6.4535E+00
  1087.0           6.4546E+00              6.4542E+00
  1088.0           6.4553E+00              6.4549E+00
  1089.0           6.4560E+00              6.4556E+00
  1090.0           6.4566E+00              6.4563E+00
  1091.0           6.4574E+00              6.4570E+00
  1092.0           6.4580E+00              6.4577E+00
  1093.0           6.4587E+00              6.4584E+00
  1094.0           6.4594E+00              6.4590E+00
  1095.0           6.4601E+00              6.4597E+00
  1096.0           6.4608E+00              6.4604E+00
  1097.0           6.4615E+00              6.4611E+00
  1098.0           6.4622E+00              6.4618E+00
  1099.0           6.4629E+00              6.4625E+00
  1100.0           6.4635E+00              6.4632E+00
  1101.0           6.4643E+00              6.4639E+00
  1102.0           6.4649E+00              6.4646E+00
  1103.0           6.4656E+00              6.4653E+00
  1104.0           6.4663E+00              6.4659E+00
  1105.0           6.4670E+00              6.4666E+00
  1106.0           6.4677E+00              6.4673E+00
  1107.0           6.4684E+00              6.4680E+00
  1108.0           6.4690E+00              6.4687E+00
  1109.0           6.4697E+00              6.4693E+00
  1110.0           6.4704E+00              6.4700E+00
  1111.0           6.4711E+00              6.4707E+00
  1112.0           6.4717E+00              6.4714E+00
  1113.0           6.4724E+00              6.4720E+00
  1114.0           6.4731E+00              6.4727E+00
  1115.0           6.4737E+00              6.4734E+00
  1116.0           6.4744E+00              6.4741E+00
  1117.0           6.4751E+00              6.4747E+00
  1118.0           6.4757E+00              6.4754E+00
  1119.0           6.4764E+00              6.4760E+00
  1120.0           6.4770E+00              6.4767E+00
  1121.0           6.4777E+00              6.4774E+00
  1122.0           6.4784E+00              6.4780E+00
  1123.0           6.4790E+00              6.4786E+00
  1124.0           6.4796E+00              6.4793E+00
  1125.0           6.4803E+00              6.4799E+00
  1126.0           6.4809E+00              6.4806E+00
  1127.0           6.4816E+00              6.4812E+00
  1128.0           6.4822E+00              6.4818E+00
  1129.0           6.4829E+00              6.4825E+00
  1130.0           6.4835E+00              6.4831E+00
  1131.0           6.4842E+00              6.4838E+00
  1132.0           6.4848E+00              6.4844E+00
  1133.0           6.4854E+00              6.4850E+00
  1134.0           6.4860E+00              6.4857E+00
  1135.0           6.4867E+00              6.4863E+00
  1136.0           6.4873E+00              6.4869E+00
  1137.0           6.4879E+00              6.4875E+00
  1138.0           6.4884E+00              6.4881E+00
  1139.0           6.4890E+00              6.4886E+00
  1140.0           6.4896E+00              6.4892E+00
  1141.0           6.4902E+00              6.4898E+00
  1142.0           6.4907E+00              6.4903E+00
  1143.0           6.4912E+00              6.4908E+00
  1144.0           6.4918E+00              6.4914E+00
  1145.0           6.4923E+00              6.4919E+00
  1146.0           6.4928E+00              6.4925E+00
  1147.0           6.4933E+00              6.4930E+00
  1148.0           6.4938E+00              6.4935E+00
  1149.0           6.4943E+00              6.4940E+00
  1150.0           6.4949E+00              6.4945E+00
  1151.0           6.4954E+00              6.4950E+00
  1152.0           6.4959E+00              6.4955E+00
  1153.0           6.4963E+00              6.4960E+00
  1154.0           6.4968E+00              6.4964E+00
  1155.0           6.4973E+00              6.4969E+00
  1156.0           6.4978E+00              6.4974E+00
  1157.0           6.4983E+00              6.4979E+00
  1158.0           6.4988E+00              6.4984E+00
  1159.0           6.4993E+00              6.4989E+00
  1160.0           6.4997E+00              6.4993E+00
  1161.0           6.5002E+00              6.4998E+00
  1162.0           6.5007E+00              6.5003E+00
  1163.0           6.5012E+00              6.5008E+00
  1164.0           6.5017E+00              6.5013E+00
  1165.0           6.5021E+00              6.5017E+00
  1166.0           6.5026E+00              6.5023E+00
  1167.0           6.5031E+00              6.5027E+00
  1168.0           6.5036E+00              6.5032E+00
  1169.0           6.5041E+00              6.5037E+00
  1170.0           6.5046E+00              6.5042E+00
  1171.0           6.5051E+00              6.5047E+00
  1172.0           6.5056E+00              6.5052E+00
  1173.0           6.5061E+00              6.5057E+00
  1174.0           6.5066E+00              6.5062E+00
  1175.0           6.5071E+00              6.5067E+00
  1176.0           6.5076E+00              6.5072E+00
  1177.0           6.5081E+00              6.5077E+00
  1178.0           6.5086E+00              6.5082E+00
  1179.0           6.5091E+00              6.5087E+00
  1180.0           6.5096E+00              6.5092E+00
  1181.0           6.5102E+00              6.5098E+00
  1182.0           6.5107E+00              6.5103E+00
  1183.0           6.5112E+00              6.5108E+00
  1184.0           6.5117E+00              6.5113E+00
  1185.0           6.5123E+00              6.5119E+00
  1186.0           6.5128E+00              6.5124E+00
  1187.0           6.5134E+00              6.5130E+00
  1188.0           6.5139E+00              6.5135E+00
  1189.0           6.5144E+00              6.5141E+00
  1190.0           6.5150E+00              6.5146E+00
  1191.0           6.5156E+00              6.5152E+00
  1192.0           6.5161E+00              6.5157E+00
  1193.0           6.5167E+00              6.5163E+00
  1194.0           6.5173E+00              6.5169E+00
  1195.0           6.5178E+00              6.5174E+00
  1196.0           6.5184E+00              6.5180E+00
  1197.0           6.5190E+00              6.5186E+00
  1198.0           6.5196E+00              6.5192E+00
  1199.0           6.5202E+00              6.5198E+00
  1200.0           6.5207E+00              6.5203E+00
  1201.0           6.5214E+00              6.5210E+00
  1202.0           6.5219E+00              6.5216E+00
  1203.0           6.5225E+00              6.5222E+00
  1204.0           6.5231E+00              6.5227E+00
  1205.0           6.5237E+00              6.5233E+00
  1206.0           6.5244E+00              6.5240E+00
  1207.0           6.5250E+00              6.5246E+00
  1208.0           6.5256E+00              6.5252E+00
  1209.0           6.5262E+00              6.5258E+00
  1210.0           6.5268E+00              6.5264E+00
  1211.0           6.5274E+00              6.5270E+00
  1212.0           6.5280E+00              6.5276E+00
  1213.0           6.5286E+00              6.5282E+00
  1214.0           6.5292E+00              6.5288E+00
  1215.0           6.5298E+00              6.5294E+00
  1216.0           6.5305E+00              6.5301E+00
  1217.0           6.5311E+00              6.5307E+00
  1218.0           6.5317E+00              6.5313E+00
  1219.0           6.5323E+00              6.5319E+00
  1220.0           6.5329E+00              6.5325E+00
  1221.0           6.5335E+00              6.5332E+00
  1222.0           6.5341E+00              6.5338E+00
  1223.0           6.5348E+00              6.5344E+00
  1224.0           6.5354E+00              6.5350E+00
  1225.0           6.5360E+00              6.5356E+00
  1226.0           6.5366E+00              6.5363E+00
  1227.0           6.5373E+00              6.5369E+00
  1228.0           6.5379E+00              6.5375E+00
  1229.0           6.5385E+00              6.5381E+00
  1230.0           6.5391E+00              6.5387E+00
  1231.0           6.5398E+00              6.5394E+00
  1232.0           6.5404E+00              6.5400E+00
  1233.0           6.5410E+00              6.5406E+00
  1234.0           6.5416E+00              6.5412E+00
  1235.0           6.5422E+00              6.5418E+00
  1236.0           6.5429E+00              6.5425E+00
  1237.0           6.5435E+00              6.5431E+00
  1238.0           6.5441E+00              6.5437E+00
  1239.0           6.5447E+00              6.5443E+00
  1240.0           6.5454E+00              6.5450E+00
  1241.0           6.5460E+00              6.5456E+00
  1242.0           6.5466E+00              6.5462E+00
  1243.0           6.5472E+00              6.5468E+00
  1244.0           6.5478E+00              6.5474E+00
  1245.0           6.5484E+00              6.5480E+00
  1246.0           6.5491E+00              6.5487E+00
  1247.0           6.5497E+00              6.5493E+00
  1248.0           6.5503E+00              6.5499E+00
  1249.0           6.5509E+00              6.5505E+00
  1250.0           6.5515E+00              6.5511E+00
  1251.0           6.5521E+00              6.5517E+00
  1252.0           6.5527E+00              6.5523E+00
  1253.0           6.5533E+00              6.5529E+00
  1254.0           6.5539E+00              6.5535E+00
  1255.0           6.5545E+00              6.5541E+00
  1256.0           6.5551E+00              6.5547E+00
  1257.0           6.5557E+00              6.5553E+00
  1258.0           6.5562E+00              6.5558E+00
  1259.0           6.5568E+00              6.5564E+00
  1260.0           6.5574E+00              6.5570E+00
  1261.0           6.5580E+00              6.5576E+00
  1262.0           6.5586E+00              6.5582E+00
  1263.0           6.5591E+00              6.5587E+00
  1264.0           6.5597E+00              6.5593E+00
  1265.0           6.5602E+00              6.5598E+00
  1266.0           6.5608E+00              6.5604E+00
  1267.0           6.5614E+00              6.5610E+00
  1268.0           6.5619E+00              6.5615E+00
  1269.0           6.5625E+00              6.5621E+00
  1270.0           6.5630E+00              6.5626E+00
  1271.0           6.5636E+00              6.5632E+00
  1272.0           6.5641E+00              6.5637E+00
  1273.0           6.5647E+00              6.5643E+00
  1274.0           6.5652E+00              6.5648E+00
  1275.0           6.5657E+00              6.5653E+00
  1276.0           6.5663E+00              6.5659E+00
  1277.0           6.5668E+00              6.5664E+00
  1278.0           6.5673E+00              6.5669E+00
  1279.0           6.5678E+00              6.5674E+00
  1280.0           6.5684E+00              6.5679E+00
  1281.0           6.5689E+00              6.5685E+00
  1282.0           6.5694E+00              6.5690E+00
  1283.0           6.5699E+00              6.5695E+00
  1284.0           6.5704E+00              6.5700E+00
  1285.0           6.5709E+00              6.5705E+00
  1286.0           6.5715E+00              6.5710E+00
  1287.0           6.5719E+00              6.5715E+00
  1288.0           6.5724E+00              6.5720E+00
  1289.0           6.5729E+00              6.5725E+00
  1290.0           6.5734E+00              6.5730E+00
  1291.0           6.5739E+00              6.5735E+00
  1292.0           6.5744E+00              6.5740E+00
  1293.0           6.5749E+00              6.5745E+00
  1294.0           6.5754E+00              6.5750E+00
  1295.0           6.5759E+00              6.5754E+00
  1296.0           6.5764E+00              6.5759E+00
  1297.0           6.5768E+00              6.5764E+00
  1298.0           6.5773E+00              6.5769E+00
  1299.0           6.5778E+00              6.5774E+00
